Tipo.Registro,Protocolo.BATEU,Data,Hora,Via.Primária,Via.Secundária,Cruzamento,Número.(KM),Condição.Climática,Tipo.de.Acidente,Tipo.de.Veículo,Vítimas,Resultado,Tipo.Envolvido,Faixa.Etária,Categoria.Etilométrico,Subtipo.Etilométrico,Qtd..Veículos.Envolidos,Qtd..Pessoas.Envolvidas,Qtd..Vítimas,address,lat,long,UTM_x,UTM_y
BATEU Local,12237,16/10/2011,17:00,Rua Deputado Acyr Jose,Rua Osires Del Corso,Rua Deputado Acyr Jose X Rua Osires Del Corso,630,Bom,ACIDENTE COMPLEXO,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,07 - 60 ou mais,Sem Info.,Sem Info.,1,1,1,Rua Deputado Acyr Jose 630,-25.4733525,-49.2003829,680915.791165896,7181414.67980206
BATEU Local,11942,29/08/2011,07:00,Rua Subtenente Francisco Hierro,Rua Amauri Mauad Guerios,Rua Subtenente Francisco Hierro X Rua Amauri Mauad Guerios,166,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,PASSAGEIRO,08 - Não informada,Sem Info.,Sem Info.,1,1,1,Rua Subtenente Francisco Hierro 166,-25.49531,-49.21161,679754.220161151,7178997.65393218
BATEU Local,11796,14/09/2011,06:00,Rua Teofilo Otoni,Rua Natal,Rua Teofilo Otoni X Rua Natal,1460,Nublado,ABALROAMENTO LATERAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,04 - Entre 30 e 40 anos,Não Embriagado,Não realizou teste etilométrico,1,1,1,Rua Teofilo Otoni 1460,-25.4556,-49.20694,680282.935810111,7183390.01693802
BATEU Local,11772,02/09/2011,08:00,Rua Otavio Afonso Da Silva,Rua Olivio Domingos Leonardi,Rua Otavio Afonso Da Silva X Rua Olivio Domingos Leonardi,0,Nublado,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,02 - Entre 12 e 17 anos,Não Embriagado,Não realizou teste etilométrico,1,1,1,Rua Otavio Afonso Da Silva X Rua Olivio Domingos Leonardi,-25.54906,-49.26359,674450.822744071,7173113.05116671
BATEU Local,11619,10/08/2011,16:00,Rua Ney Pacheco,Rua Jornalista Augusto Waldrigues,Rua Ney Pacheco X Rua Jornalista Augusto Waldrigues,190,Não Informado,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Sem Ferimentos,CONDUTOR,06 - Entre 51 e 59 anos,Sem Info.,Sem Info.,1,1,0,Rua Ney Pacheco 190,-25.5272302,-49.3382522,666978.664052886,7175627.03404993
BATEU Local,11401,13/08/2011,14:00,Rua Roberto Fritsch,Rua Nova Esperanca,Rua Roberto Fritsch X Rua Nova Esperanca,1597,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Sem Ferimentos,RESPONSAVEL,03 - Entre 18 e 29 anos,Sem Info.,Sem Info.,1,1,0,Rua Roberto Fritsch 1597,-25.54874,-49.26896,673911.676322833,7173155.54141026
BATEU Local,11275,04/12/2011,17:00,Rua Roberto Faria,Avenida Presidente Wenceslau Braz,Rua Roberto Faria X Avenida Presidente Wenceslau Braz,0,Nublado,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,04 - Entre 30 e 40 anos,Não Embriagado,Não realizou teste etilométrico,1,1,1,Rua Roberto Faria X Avenida Presidente Wenceslau Braz,-25.47236,-49.26307,674614.033874,7181608.30973199
BATEU Local,11247,19/11/2011,14:00,Rua Campo Grande,Avenida Florianopolis,Rua Campo Grande X Avenida Florianopolis,0,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,-,-,-,Sem Info.,Sem Info.,1,0,0,Rua Campo Grande X Avenida Florianopolis,-25.45806,-49.2096,680011.769999252,7183121.12003118
BATEU Local,11176,20/12/2011,12:00,Rua Conselheiro Dantas,Avenida Marechal Floriano Peixoto,Rua Conselheiro Dantas X Avenida Marechal Floriano Peixoto,0,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Sem Ferimentos,RESPONSAVEL,04 - Entre 30 e 40 anos,Sem Info.,Sem Info.,1,1,0,Rua Conselheiro Dantas X Avenida Marechal Floriano Peixoto,-25.45078,-49.26239,674713.582488846,7183997.7874781
BATEU Local,11105,28/11/2011,19:00,Avenida Parana,-,Avenida Parana X ,1348,Bom,QUEDA VEICULO,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,05 - Entre 41 e 50 anos,Sem Info.,Sem Info.,1,1,1,Avenida Parana 1348,-25.40118,-49.24756,676277.177039475,7189472.34871904
BATEU Local,10977,22/11/2011,07:00,Rua Izaac Ferreira Da Cruz,Rua Campina Grande Do Sul,Rua Izaac Ferreira Da Cruz X Rua Campina Grande Do Sul,3441,Nublado,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,06 - Entre 51 e 59 anos,Sem Info.,Sem Info.,1,1,1,Rua Izaac Ferreira Da Cruz 3441,-25.53515,-49.26981,673845.869422378,7174662.00038593
BATEU Local,10976,26/10/2011,21:00,Rua Waldemar Loureiro Campos,-,Rua Waldemar Loureiro Campos X ,2727,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Sem Ferimentos,CONDUTOR,03 - Entre 18 e 29 anos,Sem Info.,Sem Info.,1,1,0,Rua Waldemar Loureiro Campos 2727,-25.50776,-49.24847,676030.461193822,7177667.870185
BATEU Local,10834,21/10/2011,17:00,Rua Tijucas Do Sul,Rua Luiz Gurgel Do Amaral Valente,Rua Tijucas Do Sul X Rua Luiz Gurgel Do Amaral Valente,1501,Nublado,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Sem Ferimentos,RESPONSAVEL,05 - Entre 41 e 50 anos,Sem Info.,Sem Info.,1,1,0,Rua Tijucas Do Sul 1501,-25.5436462,-49.2675979,674055.907533984,7173717.99079739
BATEU Local,10679,05/10/2011,16:00,Rua Visconde Do Serro Frio,Rua Sebastiao Malucelli,Rua Visconde Do Serro Frio X Rua Sebastiao Malucelli,245,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,-,-,-,Sem Info.,Sem Info.,1,0,0,Rua Visconde Do Serro Frio 245,-25.48622,-49.30541,670337.246297644,7180127.93152201
BATEU Local,10532,26/09/2011,19:00,Rua Desembargador Cid Campelo,Rua Orestes Tha,Rua Desembargador Cid Campelo X Rua Orestes Tha,4229,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Sem Ferimentos,RESPONSAVEL,03 - Entre 18 e 29 anos,Sem Info.,Sem Info.,1,1,0,Rua Desembargador Cid Campelo 4229,-25.5119899,-49.3323302,667595.009300712,7177307.68812467
BATEU Local,10503,20/10/2011,07:00,Rua Jose Batista Dos Santos,Rua Doutor Nelson Luiz Wolski Velloso,Rua Jose Batista Dos Santos X Rua Doutor Nelson Luiz Wolski Velloso,0,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,03 - Entre 18 e 29 anos,Sem Info.,Sem Info.,1,1,1,Rua Jose Batista Dos Santos X Rua Doutor Nelson Luiz Wolski Velloso,-25.47996,-49.34392,666474.221651361,7180870.04799234
BATEU Local,10499,14/10/2011,13:00,Rua Tijucas Do Sul,Rua Moyses Gutztein,Rua Tijucas Do Sul X Rua Moyses Gutztein,0,Nublado,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Sem Ferimentos,CONDUTOR,04 - Entre 30 e 40 anos,Não Embriagado,Não realizou teste etilométrico,1,1,0,Rua Tijucas Do Sul X Rua Moyses Gutztein,-25.54301,-49.26917,673898.845130312,7173790.521257
BATEU Local,10483,05/10/2011,18:00,Rua Waldemar Cavanha,Rua Joana Maria Ferreira,Rua Waldemar Cavanha X Rua Joana Maria Ferreira,133,Não Informado,COLISAO FRONTAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,08 - Não informada,Não Embriagado,Não realizou teste etilométrico,1,1,1,Rua Waldemar Cavanha 133,-25.47689,-49.33148,667729.212919238,7181194.4832733
BATEU Local,10461,28/09/2011,18:00,Rua Vereador Antonio Carnasciali,Rua Professor Joao Soares Barcelos,Rua Vereador Antonio Carnasciali X Rua Professor Joao Soares Barcelos,0,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,SEM VÍTIMAS,Sem Ferimentos,CONDUTOR,04 - Entre 30 e 40 anos,Sem Info.,Sem Info.,1,1,0,Rua Vereador Antonio Carnasciali X Rua Professor Joao Soares Barcelos,-25.49617,-49.24704,676191.122215961,7178949.78863097
BATEU Local,10431,26/10/2011,09:00,Rua Americo Firmino De Toledo,-,Rua Americo Firmino De Toledo X ,578,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,05 - Entre 41 e 50 anos,Sem Info.,Sem Info.,1,1,1,Rua Americo Firmino De Toledo 578,-25.5038133,-49.2158591,679314.4170901,7178061.47684516
BATEU Local,9163,24/12/2011,17:00,Rua Marte,Rua Florival Elvidio Da Silva,Rua Marte X Rua Florival Elvidio Da Silva,1234,Chuva Fraca,ACIDENTE COMPLEXO,BICICLETA,COM VÍTIMAS,Ferimento,NAOIDENTIFICADO,02 - Entre 12 e 17 anos,Sem Info.,Sem Info.,1,1,1,Rua Marte 1234,-25.53205,-49.26992,673839.285404398,7175005.52677831
BATEU Local,9160,22/12/2011,19:00,Rua Jair Silveira,-,Rua Jair Silveira X ,272,Nublado,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,NAOIDENTIFICADO,08 - Não informada,Sem Info.,Sem Info.,1,1,1,Rua Jair Silveira 272,-25.5004632,-49.35201,665632.728116539,7178609.10357254
BATEU Local,9159,22/12/2011,17:00,Alameda Princesa Izabel,Alameda Presidente Taunay,Alameda Princesa Izabel X Alameda Presidente Taunay,1035,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,PEDESTRE,04 - Entre 30 e 40 anos,Sem Info.,Sem Info.,1,1,1,Alameda Princesa Izabel 1035,-25.43174,-49.28742,672223.469671217,7186139.3632979
BATEU Local,8967,21/07/2011,07:00,Rua Jose Hauer,Rua Anne Frank,Rua Jose Hauer X Rua Anne Frank,0,Chuva Fraca,ATROPELAMENTO,BICICLETA,COM VÍTIMAS,Sem Ferimentos,CONDUTOR,04 - Entre 30 e 40 anos,Não Embriagado,Não realizou teste etilométrico,1,1,0,Rua Jose Hauer X Rua Anne Frank,-25.50631,-49.2339,677497.185555096,7177809.11908389
BATEU Local,8771,04/07/2011,11:00,Rua Padre Anchieta,Rua Fernando Simas,Rua Padre Anchieta X Rua Fernando Simas,0,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,08 - Não informada,Sem Info.,Sem Info.,1,1,1,Rua Padre Anchieta X Rua Fernando Simas,-25.42937,-49.28991,671976.384230669,7186405.0930178
BATEU Local,8767,10/09/2011,19:00,Rua Bocaiuva,Avenida Presidente Arthur Da Silva Bernardes,Rua Bocaiuva X Avenida Presidente Arthur Da Silva Bernardes,0,Bom,ACIDENTE COMPLEXO,BICICLETA,COM VÍTIMAS,Sem Ferimentos,RESPONSAVEL,05 - Entre 41 e 50 anos,Sem Info.,Sem Info.,1,1,0,Rua Bocaiuva X Avenida Presidente Arthur Da Silva Bernardes,-25.46196,-49.30159,670755.567828564,7182810.23355679
BATEU Local,8735,02/07/2011,10:00,Rua Magdalena Chagas Lima,Rua Antonio Escorsin,Rua Magdalena Chagas Lima X Rua Antonio Escorsin,0,Nublado,ABALROAMENTO LATERAL,BICICLETA,SEM VÍTIMAS,Não informado,CONDUTOR,02 - Entre 12 e 17 anos,Sem Info.,Sem Info.,1,1,0,Rua Magdalena Chagas Lima X Rua Antonio Escorsin,-25.41756,-49.34601,666349.85191336,7187784.37157793
BATEU Local,8651,24/08/2011,13:00,Rua Manife Tacla,Rua Caetano Granato,Rua Manife Tacla X Rua Caetano Granato,0,Bom,ABALROAMENTO LATERAL,BICICLETA,COM VÍTIMAS,Sem Ferimentos,RESPONSAVEL,04 - Entre 30 e 40 anos,Sem Info.,Sem Info.,1,1,0,Rua Manife Tacla X Rua Caetano Granato,-25.38962,-49.28006,673023.874731921,7190795.32149097
BATEU Local,8609,17/06/2011,19:00,Rua Mario Zanlorenzi,Rua Frederico Muller,Rua Mario Zanlorenzi X Rua Frederico Muller,0,Bom,COLISAO FRONTAL,BICICLETA,SEM VÍTIMAS,Sem Ferimentos,CONDUTOR,02 - Entre 12 e 17 anos,Não Embriagado,Não realizou teste etilométrico,1,1,0,Rua Mario Zanlorenzi X Rua Frederico Muller,-25.45835,-49.32161,668747.456548235,7183235.608964
BATEU Local,8537,08/06/2011,17:00,Rua Dos Pioneiros,Rua David Carneiro,Rua Dos Pioneiros X Rua David Carneiro,0,Bom,ATROPELAMENTO,BICICLETA,COM VÍTIMAS,-,-,-,Sem Info.,Sem Info.,1,0,0,Rua Dos Pioneiros X Rua David Carneiro,-25.4195,-49.27285,673706.516695982,7187476.25397258
BATEU Local,8521,09/09/2011,18:00,Rua Fortaleza,Rua Dos Ferroviarios,Rua Fortaleza X Rua Dos Ferroviarios,0,Nublado,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,05 - Entre 41 e 50 anos,Sem Info.,Sem Info.,1,1,1,Rua Fortaleza X Rua Dos Ferroviarios,-25.45063,-49.20793,680190.778530367,7183941.8819241
BATEU Local,8200,26/09/2011,15:00,Rua Cidade De Maria Helena,Avenida Juscelino Kubitschek De Oliveira,Rua Cidade De Maria Helena X Avenida Juscelino Kubitschek De Oliveira,0,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Sem Ferimentos,RESPONSAVEL,06 - Entre 51 e 59 anos,Sem Info.,Sem Info.,1,1,0,Rua Cidade De Maria Helena X Avenida Juscelino Kubitschek De Oliveira,-25.48497,-49.34685,666172.746594825,7180318.77587869
BATEU Local,8105,22/09/2011,07:00,Rua Felipe Camarao,Rua Chile,Rua Felipe Camarao X Rua Chile,0,Nublado,NAO IDENTIFICADO,BICICLETA,COM VÍTIMAS,Sem Ferimentos,RESPONSAVEL,06 - Entre 51 e 59 anos,Sem Info.,Sem Info.,1,1,0,Rua Felipe Camarao X Rua Chile,-25.44572,-49.2532,675645.146779436,7184546.19287485
BATEU Local,7994,01/09/2011,13:00,Rua Belo Horizonte,Avenida Sete De Setembro,Rua Belo Horizonte X Avenida Sete De Setembro,0,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,04 - Entre 30 e 40 anos,Sem Info.,Sem Info.,1,1,1,Rua Belo Horizonte X Avenida Sete De Setembro,-25.44842,-49.29484,671453.519375666,7184301.34272571
BATEU Local,7849,18/08/2011,18:00,Rua Francisco Derosso,Rua Dos Pioneiros,Rua Francisco Derosso X Rua Dos Pioneiros,5100,Chuva Fraca,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,08 - Não informada,Sem Info.,Sem Info.,1,1,1,Rua Francisco Derosso 5100,-25.5297578,-49.2475425,676091.576690308,7175229.96424381
BATEU Local,7848,17/08/2011,11:00,Rua Rio Negro,Rua Jose De Oliveira Franco,Rua Rio Negro X Rua Jose De Oliveira Franco,820,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,01 - Entre  0 e 11 anos,Sem Info.,Sem Info.,1,1,1,Rua Rio Negro 820,-25.42449,-49.2004649,680980.618137086,7186827.290235
BATEU Local,7760,19/09/2011,17:00,Rua Lodovico Geronazzo,Avenida Parana,Rua Lodovico Geronazzo X Avenida Parana,0,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Sem Ferimentos,CONDUTOR,04 - Entre 30 e 40 anos,Não Embriagado,Não realizou teste etilométrico,1,1,0,Rua Lodovico Geronazzo X Avenida Parana,-25.39201,-49.23901,677150.783236118,7190476.77252221
BATEU Local,7755,18/09/2011,16:00,Rua Humberto Giraldi,Rua Da Trindade,Rua Humberto Giraldi X Rua Da Trindade,550,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Não informado,CONDUTOR,06 - Entre 51 e 59 anos,Sem Info.,Sem Info.,1,1,0,Rua Humberto Giraldi 550,-25.4485258,-49.2067018,680317.434282756,7184173.30231958
BATEU Local,7723,10/09/2011,12:00,Rua Herculano De Araujo Filho,Rua Emilio Romani,Rua Herculano De Araujo Filho X Rua Emilio Romani,2991,Bom,ATROPELAMENTO,BICICLETA,COM VÍTIMAS,Óbito no Local,PEDESTRE,05 - Entre 41 e 50 anos,Sem Info.,Sem Info.,1,1,1,Rua Herculano De Araujo Filho 2991,-25.52823,-49.33731,667071.97132832,7175515.10600043
BATEU Local,7710,28/10/2011,20:00,Rua Comendador Joao Lackner,Rua Alagoas,Rua Comendador Joao Lackner X Rua Alagoas,0,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Sem Ferimentos,CONDUTOR,03 - Entre 18 e 29 anos,Não Embriagado,Não realizou teste etilométrico,1,1,0,Rua Comendador Joao Lackner X Rua Alagoas,-25.46803,-49.26755,674169.809630654,7182093.80138142
BATEU Local,7397,21/11/2011,08:00,Rua Francisco Zanicotti Sobrinho,Rua Fernando De Noronha,Rua Francisco Zanicotti Sobrinho X Rua Fernando De Noronha,372,Nublado,COLISAO FRONTAL,BICICLETA,COM VÍTIMAS,Sem Ferimentos,RESPONSAVEL,05 - Entre 41 e 50 anos,Sem Info.,Sem Info.,1,1,0,Rua Francisco Zanicotti Sobrinho 372,-25.3809142,-49.2321961,677852.64414019,7191696.77514755
BATEU Local,7128,13/12/2011,12:00,Rua Alferes Angelo Sampaio,Avenida Iguacu,Rua Alferes Angelo Sampaio X Avenida Iguacu,2063,Nublado,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,03 - Entre 18 e 29 anos,Não Embriagado,Não realizou teste etilométrico,1,1,1,Rua Alferes Angelo Sampaio 2063,-25.4364239,-49.2879724,672161.247801672,7185621.25736918
BATEU Local,7045,18/12/2011,09:00,Rua Marechal Deodoro,Alameda Doutor Muricy,Rua Marechal Deodoro X Alameda Doutor Muricy,0,Bom,ACIDENTE COMPLEXO,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,07 - 60 ou mais,Não Embriagado,Não realizou teste etilométrico,1,1,1,Rua Marechal Deodoro X Alameda Doutor Muricy,-25.43248,-49.2722,673753.281766825,7186037.65220932
BATEU Local,6878,21/11/2011,18:00,Avenida Silva Jardim,Avenida Republica Argentina,Avenida Silva Jardim X Avenida Republica Argentina,0,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Sem Ferimentos,CONDUTOR,03 - Entre 18 e 29 anos,Sem Info.,Sem Info.,1,1,0,Avenida Silva Jardim X Avenida Republica Argentina,-25.44742,-49.28775,672167.974865359,7184402.96938447
BATEU Local,5824,14/12/2011,13:00,Rua Presidente Carlos Cavalcanti,Avenida Manoel Ribas,Rua Presidente Carlos Cavalcanti X Avenida Manoel Ribas,0,Chuva Fraca,ACIDENTE COMPLEXO,BICICLETA,SEM VÍTIMAS,Sem Ferimentos,CONDUTOR,08 - Não informada,Sem Info.,Sem Info.,1,1,0,Rua Presidente Carlos Cavalcanti X Avenida Manoel Ribas,-25.42425,-49.27947,673033.804327451,7186958.71514661
BATEU Local,5804,03/11/2011,17:00,Rua Jose Kaminski,Rua General Potiguara,Rua Jose Kaminski X Rua General Potiguara,0,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Sem Ferimentos,CONDUTOR,07 - 60 ou mais,Não Embriagado,Não realizou teste etilométrico,1,1,0,Rua Jose Kaminski X Rua General Potiguara,-25.49349,-49.312,669664.496407625,7179331.07766705
BATEU Local,5301,01/09/2011,18:00,Rua Romano Bertagnoli,Avenida Candido Hartmann,Rua Romano Bertagnoli X Avenida Candido Hartmann,0,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Sem Ferimentos,CONDUTOR,05 - Entre 41 e 50 anos,Não Embriagado,Não realizou teste etilométrico,1,1,0,Rua Romano Bertagnoli X Avenida Candido Hartmann,-25.42295,-49.30446,670521.91852983,7187134.89160571
BATEU Local,5227,22/08/2011,17:00,Rua Professor Nivaldo Braga,Avenida Prefeito Mauricio Fruet,Rua Professor Nivaldo Braga X Avenida Prefeito Mauricio Fruet,0,Nublado,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Sem Ferimentos,RESPONSAVEL,04 - Entre 30 e 40 anos,Sem Info.,Sem Info.,1,1,0,Rua Professor Nivaldo Braga X Avenida Prefeito Mauricio Fruet,-25.44039,-49.22089,678902.534637872,7185093.6193257
BATEU Local,5214,20/08/2011,12:00,Rua Rio Mucuri,Rua Rio Araguari,Rua Rio Mucuri X Rua Rio Araguari,946,Nublado,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Sem Ferimentos,CONDUTOR,05 - Entre 41 e 50 anos,Sem Info.,Sem Info.,1,1,0,Rua Rio Mucuri 946,-25.39755,-49.20393,680672.211800218,7189816.11353749
